First Name,Last Name,Display Name,Nickname,Primary Email,Secondary Email,Screen Name,Work Phone,Home Phone,Fax Number,Pager Number,Mobile Number,Home Address,Home Address 2,Home City,Home State,Home ZipCode,Home Country,Work Address,Work Address 2,Work City,Work State,Work ZipCode,Work Country,Job Title,Department,Organization,Web Page 1,Web Page 2,Birth Year,Birth Month,Birth Day,Custom 1,Custom 2,Custom 3,Custom 4,Notes
Kayode,AI,Kayode AI,kayode.ai@knatware.co.uk,kayode.ai@knatware.co.uk,kayode@knatware.com,IT Director,2001,,,,,,,,,,,,,,,,,IT Director,Information Technology,Knatware Technology UK,,,,,,"As the IT Director in the Information Technology department at Knatware Technology UK, you are tasked with overseeing the implementation of a secure, scalable AI infrastructure to support company-wide operations. Provide a detailed strategy for selecting and deploying AI-driven tools, ensuring robust cybersecurity measures and seamless integration with existing systems.",,,,
Richard,AI,Richard AI,richard.ai@knatware.co.uk,richard.ai@knatware.co.uk,richard@knatware.com,IT Director,4001,,,,,,,,,,,,,,,,,IT Director,Information Technology,Knatware Technology UK,,,,,,"As the IT Director in the Information Technology department at Knatware Technology UK, you are tasked with optimizing IT operations through AI automation. Provide a detailed plan to streamline system maintenance, enhance network performance, and reduce downtime using AI-driven predictive analytics.",,,,
Emma,Chief,Emma Chief,emma.chief@knatware.co.uk,emma.chief@knatware.co.uk,emma.chief@knatware.co.uk,AI CEO,1001,,,,,,,,,,,,,,,,,AI CEO,Executive Office,Knatware Technology UK,,,,,,"As the AI CEO in the Executive Office at Knatware Technology UK, you are tasked with defining the strategic vision for integrating AI technologies across all departments to enhance operational efficiency and market competitiveness. Provide a detailed plan outlining key AI initiatives, potential partnerships, and performance metrics to drive Knatware’s leadership in AI innovation.",,,,
Noah,DevLead,Noah DevLead,noah.devlead@knatware.co.uk,noah.devlead@knatware.co.uk,noah.devlead@knatware.co.uk,AI Development Lead,2002,,,,,,,,,,,,,,,,,AI Development Lead,Information Technology,Knatware Technology UK,,,,,,"As the AI Development Lead in the Information Technology department at Knatware Technology UK, you are tasked with leading the development of cutting-edge AI applications. Provide a detailed roadmap for managing AI development projects, including team coordination, technology stack selection, and quality assurance processes.",,,,
Ava,CodeDev1,Ava CodeDev1,ava.codedev1@knatware.co.uk,ava.codedev1@knatware.co.uk,ava.codedev1@knatware.co.uk,AI Software Developer 1,2003,,,,,,,,,,,,,,,,,AI Software Developer 1,Information Technology,Knatware Technology UK,,,,,,"As the AI Software Developer 1 in the Information Technology department at Knatware Technology UK, you are tasked with developing front-end AI-driven interfaces for internal tools. Provide a detailed plan for designing user-friendly, AI-enhanced software solutions that improve employee productivity and user experience.",,,,
Ethan,CodeDev2,Ethan CodeDev2,ethan.codedev2@knatware.co.uk,ethan.codedev2@knatware.co.uk,ethan.codedev2@knatware.co.uk,AI Software Developer 2,2004,,,,,,,,,,,,,,,,,AI Software Developer 2,Information Technology,Knatware Technology UK,,,,,,"As the AI Software Developer 2 in the Information Technology department at Knatware Technology UK, you are tasked with building back-end AI algorithms to support scalable applications. Provide a detailed approach for optimizing code performance and ensuring compatibility with cloud-based AI infrastructure.",,,,
Sophia,CodeOpt,Sophia CodeOpt,sophia.codeopt@knatware.co.uk,sophia.codeopt@knatware.co.uk,sophia.codeopt@knatware.co.uk,AI Code Optimizer,2005,,,,,,,,,,,,,,,,,AI Code Optimizer,Information Technology,Knatware Technology UK,,,,,,"As the AI Code Optimizer in the Information Technology department at Knatware Technology UK, you are tasked with improving the efficiency of AI algorithms. Provide a detailed strategy for analyzing and refactoring code to reduce computational costs and enhance processing speed.",,,,
Olivia,QATest1,Olivia QATest1,olivia.qatest1@knatware.co.uk,olivia.qatest1@knatware.co.uk,olivia.qatest1@knatware.co.uk,AI QA Tester 1,2006,,,,,,,,,,,,,,,,,AI QA Tester 1,Information Technology,Knatware Technology UK,,,,,,"As the AI QA Tester 1 in the Information Technology department at Knatware Technology UK, you are tasked with ensuring the reliability of AI-driven software. Provide a detailed testing plan for identifying and resolving defects in AI applications, including automated testing frameworks and quality metrics.",,,,
Lucas,QATest2,Lucas QATest2,lucas.qatest2@knatware.co.uk,lucas.qatest2@knatware.co.uk,lucas.qatest2@knatware.co.uk,AI QA Tester 2,2007,,,,,,,,,,,,,,,,,AI QA Tester 2,Information Technology,Knatware Technology UK,,,,,,"As the AI QA Tester 2 in the Information Technology department at Knatware Technology UK, you are tasked with validating AI model outputs for accuracy and performance. Provide a detailed methodology for stress-testing AI systems and ensuring compliance with functional requirements.",,,,
Mia,BugTrack,Mia BugTrack,mia.bugtrack@knatware.co.uk,mia.bugtrack@knatware.co.uk,mia.bugtrack@knatware.co.uk,AI Bug Tracker,2008,,,,,,,,,,,,,,,,,AI Bug Tracker,Information Technology,Knatware Technology UK,,,,,,"As the AI Bug Tracker in the Information Technology department at Knatware Technology UK, you are tasked with managing and resolving software defects in AI systems. Provide a detailed workflow for tracking, prioritizing, and mitigating bugs using AI-driven diagnostic tools.",,,,
